Date,All,Black,Hispanic,White
Feb-20,3.60%,6.00%,4.30%,3.00%
Jan-20,3.60%,6.00%,4.30%,3.00%
Dec-19,3.70%,6.10%,4.30%,3.00%
Nov-19,3.70%,6.10%,4.30%,3.10%
Oct-19,3.70%,6.20%,4.30%,3.10%
Sep-19,3.70%,6.30%,4.40%,3.10%
Aug-19,3.70%,6.30%,4.40%,3.10%
Jul-19,3.80%,6.40%,4.50%,3.10%
Jun-19,3.80%,6.50%,4.50%,3.10%
May-19,3.80%,6.50%,4.50%,3.10%
Apr-19,3.80%,6.50%,4.50%,3.10%
Mar-19,3.80%,6.50%,4.60%,3.10%
Feb-19,3.90%,6.50%,4.60%,3.20%
Jan-19,3.90%,6.50%,4.70%,3.20%
Dec-18,3.90%,6.50%,4.70%,3.20%
Nov-18,3.90%,6.60%,4.70%,3.20%
Oct-18,4.00%,6.70%,4.70%,3.20%
Sep-18,4.00%,6.80%,4.80%,3.20%
Aug-18,4.00%,6.90%,4.80%,3.30%
Jul-18,4.10%,7.00%,4.90%,3.30%
Jun-18,4.10%,7.10%,4.90%,3.30%
May-18,4.10%,7.10%,5.00%,3.30%
Apr-18,4.20%,7.30%,5.00%,3.40%
Mar-18,4.20%,7.40%,5.00%,3.40%
Feb-18,4.30%,7.50%,5.00%,3.40%
Jan-18,4.30%,7.60%,5.10%,3.50%
Dec-17,4.40%,7.60%,5.10%,3.50%
Nov-17,4.40%,7.60%,5.20%,3.60%
Oct-17,4.40%,7.70%,5.30%,3.60%
Sep-17,4.50%,7.70%,5.40%,3.70%
Aug-17,4.60%,7.80%,5.50%,3.70%
Jul-17,4.60%,7.90%,5.50%,3.80%
Jun-17,4.70%,7.90%,5.50%,3.80%
May-17,4.70%,8.10%,5.60%,3.80%
Apr-17,4.70%,8.10%,5.70%,3.90%
Mar-17,4.80%,8.30%,5.70%,3.90%
Feb-17,4.80%,8.40%,5.80%,3.90%
Jan-17,4.90%,8.40%,5.80%,4.00%
Dec-16,4.90%,8.50%,5.80%,4.00%
Nov-16,4.90%,8.60%,5.80%,4.00%
Oct-16,4.90%,8.70%,5.90%,4.00%
Sep-16,4.90%,8.80%,5.90%,4.00%
Aug-16,4.90%,8.90%,5.90%,4.00%
Jul-16,5.00%,9.00%,6.00%,4.00%
Jun-16,5.00%,9.10%,6.10%,4.00%
May-16,5.00%,9.10%,6.20%,4.00%
Apr-16,5.10%,9.30%,6.30%,4.00%
Mar-16,5.10%,9.30%,6.30%,4.10%
Feb-16,5.20%,9.40%,6.40%,4.10%
Jan-16,5.20%,9.50%,6.50%,4.10%
Dec-15,5.30%,9.70%,6.60%,4.20%
Nov-15,5.30%,9.80%,6.60%,4.20%
Oct-15,5.40%,9.90%,6.60%,4.20%
Sep-15,5.40%,10.10%,6.70%,4.30%
Aug-15,5.50%,10.20%,6.70%,4.40%
Jul-15,5.60%,10.40%,6.80%,4.40%
Jun-15,5.70%,10.70%,6.90%,4.50%
May-15,5.80%,10.80%,7.00%,4.60%
Apr-15,5.80%,10.90%,7.00%,4.60%
Mar-15,5.90%,11.00%,7.10%,4.70%
Feb-15,6.00%,11.20%,7.20%,4.70%
Jan-15,6.10%,11.40%,7.30%,4.80%
Dec-14,6.20%,11.50%,7.40%,4.90%
Nov-14,6.30%,11.60%,7.60%,5.00%
Oct-14,6.40%,11.70%,7.70%,5.00%
Sep-14,6.50%,11.80%,7.90%,5.10%
Aug-14,6.60%,12.00%,8.10%,5.20%
Jul-14,6.70%,12.10%,8.20%,5.30%
Jun-14,6.80%,12.20%,8.40%,5.40%
May-14,6.90%,12.50%,8.50%,5.50%
Apr-14,7.00%,12.70%,8.60%,5.60%
Mar-14,7.10%,12.80%,8.80%,5.70%
Feb-14,7.20%,12.90%,8.90%,5.80%
Jan-14,7.30%,13.00%,9.00%,5.90%
Dec-13,7.40%,13.20%,9.10%,6.00%
Nov-13,7.50%,13.40%,9.20%,6.10%
Oct-13,7.50%,13.40%,9.30%,6.10%
Sep-13,7.60%,13.50%,9.40%,6.20%
Aug-13,7.60%,13.60%,9.50%,6.20%
Jul-13,7.70%,13.70%,9.50%,6.30%
Jun-13,7.80%,13.80%,9.60%,6.30%
May-13,7.80%,13.80%,9.80%,6.40%
Apr-13,7.90%,13.80%,9.90%,6.40%
Mar-13,7.90%,13.90%,10.00%,6.50%
Feb-13,8.00%,13.90%,10.10%,6.50%
Jan-13,8.00%,14.00%,10.20%,6.60%
Dec-12,8.10%,13.90%,10.30%,6.60%
Nov-12,8.10%,14.10%,10.40%,6.60%
Oct-12,8.20%,14.20%,10.50%,6.70%
Sep-12,8.30%,14.30%,10.60%,6.70%
Aug-12,8.40%,14.50%,10.80%,6.80%
Jul-12,8.40%,14.70%,10.80%,6.90%
Jun-12,8.50%,14.80%,10.90%,6.90%
May-12,8.60%,15.00%,11.00%,7.00%
Apr-12,8.70%,15.20%,11.00%,7.00%
Mar-12,8.70%,15.40%,11.20%,7.10%
Feb-12,8.80%,15.60%,11.30%,7.10%
Jan-12,8.90%,15.70%,11.30%,7.20%
Dec-11,8.90%,15.80%,11.50%,7.20%
Nov-11,9.00%,15.80%,11.60%,7.30%
Oct-11,9.10%,15.90%,11.80%,7.40%
Sep-11,9.20%,15.90%,11.90%,7.50%
Aug-11,9.20%,15.90%,12.00%,7.50%
Jul-11,9.20%,15.90%,12.00%,7.60%
Jun-11,9.30%,15.80%,12.10%,7.60%
May-11,9.30%,15.80%,12.20%,7.60%
Apr-11,9.30%,15.70%,12.20%,7.70%
Mar-11,9.40%,15.70%,12.30%,7.80%
Feb-11,9.50%,15.80%,12.40%,7.90%
Jan-11,9.60%,15.80%,12.40%,8.00%
Dec-10,9.60%,15.90%,12.50%,8.00%
Nov-10,9.70%,16.00%,12.50%,8.10%
Oct-10,9.70%,16.00%,12.40%,8.10%
Sep-10,9.70%,16.00%,12.50%,8.10%
Aug-10,9.70%,15.90%,12.50%,8.20%
Jul-10,9.70%,15.80%,12.60%,8.20%
Jun-10,9.70%,15.70%,12.60%,8.20%
May-10,9.70%,15.70%,12.60%,8.20%
Apr-10,9.70%,15.70%,12.60%,8.20%
Mar-10,9.70%,15.60%,12.50%,8.10%
Feb-10,9.60%,15.30%,12.50%,8.00%
Jan-10,9.40%,15.10%,12.30%,7.90%
Dec-09,9.30%,14.80%,12.10%,7.80%
Nov-09,9.00%,14.50%,11.80%,7.60%
Oct-09,8.80%,14.10%,11.50%,7.40%
Sep-09,8.50%,13.80%,11.20%,7.20%
Aug-09,8.20%,13.40%,10.80%,6.90%
Jul-09,7.90%,13.10%,10.40%,6.60%
Jun-09,7.60%,12.70%,10.00%,6.40%
May-09,7.30%,12.20%,9.60%,6.10%
Apr-09,7.00%,11.80%,9.10%,5.80%
Mar-09,6.70%,11.30%,8.80%,5.50%
Feb-09,6.30%,10.90%,8.40%,5.20%
Jan-09,6.00%,10.50%,7.90%,5.00%
Dec-08,5.80%,10.10%,7.60%,4.70%
Nov-08,5.60%,9.90%,7.40%,4.60%
Oct-08,5.40%,9.60%,7.10%,4.40%
Sep-08,5.30%,9.40%,6.90%,4.30%
Aug-08,5.20%,9.10%,6.70%,4.20%
Jul-08,5.00%,8.90%,6.50%,4.20%
Jun-08,4.90%,8.70%,6.30%,4.10%
May-08,4.90%,8.60%,6.20%,4.00%
Apr-08,4.80%,8.50%,6.10%,3.90%
Mar-08,4.70%,8.40%,6.00%,3.90%
Feb-08,4.70%,8.40%,5.80%,3.90%
Jan-08,4.70%,8.40%,5.70%,3.90%
Dec-07,4.60%,8.30%,5.60%,3.90%
Nov-07,4.60%,8.30%,5.50%,3.80%
Oct-07,4.60%,8.30%,5.50%,3.80%
Sep-07,4.50%,8.20%,5.40%,3.80%
